ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
GUME TEK VULKANIZERSTVO MARIN BRAKOVIĆ S.P.,Ulica 15. maja 10 B,Koper - Capodistria,6000 Koper - Capodistria,OBALNO-KRAŠKA,45.53700374;13.73288949,0,98.48,49,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;2.04--SLAVČEK;0.18--LJUBLJANSKA CESTA;0.41--CESTA NA MARKOVEC;0.26--ULICA 15.MAJA;0.22
"VULKANIZERSTVO, PREVOZNIŠTVO IN PAKIRANJE ROJC BOŠTJAN S.P.",Obrov 8,Obrov,6243 Obrov,OBALNO-KRAŠKA,45.5433868;14.0873543,0,89.89,49,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;72.8--KOZINA;0.35--PRIKLJUČEK KOZINA;0.44--OBVOZNA CESTA;0.12--OBRTNIŠKA ULICA;0.15--POD VIDEŽEM;0.07--BAZOVIŠKA CESTA;0.05--KOZINA;0.19--HRPELJE;0.1--REŠKA CESTA;0.79--HRPELJE;1.26--TUBLJE PRI HRPELJAH;1.89--ROŽICE;0.9--MATERIJA;0.63--BAČ PRI MATERIJI;1.51--POVŽANE;0.02--HOTIČNA;0.65--MARKOVŠČINA;0.04--HOTIČNA;0.03--MARKOVŠČINA;0.04--HOTIČNA;0.03--MARKOVŠČINA;0.45--HOTIČNA;0.02--MARKOVŠČINA;1.97--GRADIŠČE PRI MATERIJI;2.73--OBROV;1.17
AVTOVLEKA IN POPRAVILA MARTIN ŠTUCIN S.P.,Goriška cesta 6 F,Vipava,5271 Vipava,GORIŠKA,45.83537402;13.95543322,0,67.92,35,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;12.77--VIPAVA;0.16--GORIŠKA CESTA;0.3
A.Z.M. AVTOMEHANIKA MATJAŽ ZAGOREC S.P.,Grgar 65 G,Grgar,5251 Grgar,GORIŠKA,45.99944201;13.68361835,0,107.7,63,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.05--ŠEMPETER PRI GORICI;2.19--VIPAVSKA CESTA;0.04--PRIKLJUČEK RONDO ROŽNA DOLINA;0.18--VIPAVSKA CESTA;0.87--PREDOR PANOVEC;0.26--VOJKOVA CESTA;1.54--OBVOZNICA;1.32--PREDOR ZAGRAD;0.22--VIADUKT ZAGRAD;0.05--OBVOZNICA;0.38--SKALNIŠKA CESTA;0.91--SOLKAN;0.2--SKALNIŠKA CESTA;2.11--GRGAR;2.65
AVTOELEKTRIKA BOŽIČ D.O.O.,Lokavška cesta 11,Ajdovščina,5270 Ajdovščina,GORIŠKA,45.8883177;13.89845787,0,75.53,40,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--;0.06--TOVARNIŠKA CESTA;0.77--ŽUPANČIČEVA ULICA;0.28--GREGORČIČEVA ULICA;0.23
AVTOKLEPARSTVO AVTOLIČARSTVO AVTOMEHANIKA MATJAŽ ŠVAGELJ S.P.,Branik 111,Branik,5295 Branik,GORIŠKA,45.85070022;13.80417267,0,86.66,52,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;12.77--VIPAVA;0.16--GORIŠKA CESTA;2.26--VIPAVA;0.02--MANČE;3.06--GOČE;1.3--TREBIŽANI;0.17--GOČE;0.3--KODRETI;1.0--ČEHOVINI;0.66--VEČKOTI;0.03--ČEHOVINI;0.02--VEČKOTI;0.8--KRTINOVICA;1.17--PONIKVE;0.32--KOBDILJ;2.26--ŠTANJEL;2.96--LISJAKI;1.24--BRANIK;1.47
AVTOKLEPARSTVO MIRAN FABJAN S.P.,Budanje 3 J,Budanje,5271 Vipava,GORIŠKA,45.86773231;13.93692486,0,72.14,40,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;12.77--VIPAVA;0.16--GORIŠKA CESTA;0.06--VIPAVA;0.02--GORIŠKA CESTA;2.23--ZEMONO;0.56--DUPLJE;1.0--BUDANJE;0.65
AVTOMEHANIKA VITEZ - BORUT VITEZ S.P.,Vrtojbenska cesta 14,Šempeter pri Gorici,5290 Šempeter pri Gorici,GORIŠKA,45.92869952;13.63945129,0,96.28,52,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;1.38--TRG IVANA ROBA;0.02--VRTOJBENSKA CESTA;0.14
AVTOSERVIS KOBAL BORUT KOBAL S.P.,Goriška cesta 74,Ajdovščina,5270 Ajdovščina,GORIŠKA,45.88607545;13.89078434,0,75.33,39,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--MIRCE;1.13
"AVTOSERVIS, MEHANIČNA DELA IN VULKANIZERSTVO - DANJEL ŽIŽMOND S.P.",Ozeljan 24,Ozeljan,5261 Šempas,GORIŠKA,45.93554685;13.73072904,0,90.52,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;28.67--SELO;0.11--BATUJE;0.63--ČRNIČE;2.31--OSEK;1.29--VITOVLJE;0.33--ŠEMPAS;2.4--OZELJAN;0.09
AVTOSPORT D.O.O.,Sedejeva ulica 1,Nova Gorica,5000 Nova Gorica,GORIŠKA,45.96066327;13.65041069,0,100.21,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.05--ŠEMPETER PRI GORICI;2.19--VIPAVSKA CESTA;0.04--PRIKLJUČEK RONDO ROŽNA DOLINA;0.18--VIPAVSKA CESTA;0.87--PREDOR PANOVEC;0.26--VOJKOVA CESTA;1.89
AVTOUSLUGE DANILO SEDEJ S.P.,Poče 7 A,Poče,5282 Cerkno,GORIŠKA,46.15357148;13.98449938,0,74.75,62,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.69--GORIŠKA CESTA;3.69--BEVKOVA ULICA;0.3--PLATIŠEVA ULICA;1.55--TREBENČE;0.87--LAZNICA;0.74--POČE;0.83
COTIČ SEBASTJAN S.P.,Industrijska cesta 5,Kromberk,5000 Nova Gorica,GORIŠKA,45.95449753;14.65168455,0,23.02,15,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;7.04--CIKAVA;0.87--PRIKLJUČEK CIKAVA;0.16--CIKAVA;0.04--CESTA DR. JOŽETA PUČNIKA;1.36--ADAMIČEVA CESTA;0.55--KADUNČEVA CESTA;0.2--TABORSKA CESTA;0.34--INDUSTRIJSKA CESTA;0.1
GOLOB STORITVE SIMON GOLOB S.P.,Goriška cesta 6,Vipava,5271 Vipava,GORIŠKA,45.83709352;13.95652106,0,67.72,35,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;12.77--VIPAVA;0.16--GORIŠKA CESTA;0.1
MORATTO PNEWS CENTER D.O.O.,Zatolmin 1 C,Zatolmin,5220 Tolmin,GORIŠKA,46.1905101;13.73025708,0,96.37,78,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.57--REKA;4.86--STOPNIK;6.0--DOLENJA TREBUŠA;3.86--ROČE;1.67--SLAP OB IDRIJCI;2.08--IDRIJA PRI BAČI;2.46--BAČA PRI MODREJU;1.43--MOST NA SOČI;1.65--MODREJ;1.54--PRAPETNO;0.72--POLJUBINJ;1.87--TOLMIN;0.06--ZALOG;0.17--RUTARJEVA ULICA;0.26--TRG MARŠALA TITA;0.2--GREGORČIČEVA ULICA;0.75--ULICA CIRILA KOSMAČA;0.1--ZATOLMIN;0.05
OPTIKA IN VULKANIZERSTVO IGOR ŽBOGAR S.P.,Industrijska cesta 9,Kromberk,5000 Nova Gorica,GORIŠKA,45.5338979;13.67139868,0,102.72,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;3.27--ISTRSKA CESTA;0.26--PREDOR MARKOVEC;2.16--IZOLA;1.46--INDUSTRIJSKA CESTA;0.18
SERVIS PNEVMATIK MATJAŽ LEBAN S.P.,Vojkova ulica 10,Tolmin,5220 Tolmin,GORIŠKA,46.08474961;13.63421539,0,119.13,70,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.05--ŠEMPETER PRI GORICI;2.19--VIPAVSKA CESTA;0.04--PRIKLJUČEK RONDO ROŽNA DOLINA;0.18--VIPAVSKA CESTA;0.87--PREDOR PANOVEC;0.26--VOJKOVA CESTA;1.54--OBVOZNICA;1.32--PREDOR ZAGRAD;0.22--VIADUKT ZAGRAD;0.05--OBVOZNICA;0.38--SOŠKA CESTA;1.34--SOLKAN;1.75--ZAGOMILA;5.23--ULICA IVANA GRADNIKA;2.24--GLOBNO;1.75--SREBRNIČEVA ULICA;1.45--RODEŽ;1.51--MORSKO;1.51--KANAL;0.04--VOJKOVA ULICA;0.49
ŠTRANCAR ALEŠ S.P.,Ulica Quiliano 3,Ajdovščina,5270 Ajdovščina,GORIŠKA,45.88892524;13.90177023,0,75.3,40,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--;0.06--TOVARNIŠKA CESTA;0.6--GORIŠKA CESTA;0.15--CESTA 5. MAJA;0.12--GREGORČIČEVA ULICA;0.04--ULICA QUILIANO;0.12
"VODOPIVEC TRGOVINA, TRGOVINA IN SERVISIRANJE D.O.O.",Cesta Goriške fronte 85 A,Šempeter pri Gorici,5290 Šempeter pri Gorici,GORIŠKA,45.91796874;13.65892212,0,95.47,50,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.73
VULKANIZERSTVO - OPTIČNE MERITVE MARKO KORUZA S.P.,Župančičeva ulica 1 A,Ajdovščina,5270 Ajdovščina,GORIŠKA,45.88637068;13.89997801,0,75.2,40,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--;0.06--TOVARNIŠKA CESTA;0.77--ŽUPANČIČEVA ULICA;0.18
VULKANIZERSTVO MARKO VALENTINČIČ S.P.,Vojkova ulica 12,Tolmin,5220 Tolmin,GORIŠKA,45.77366625;14.21735411,0,46.52,25,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;41.88--POSTOJNA;0.25--PRIKLJUČEK POSTOJNA;0.15--REŠKA CESTA;0.9--TITOVA CESTA;1.31--TITOV TRG;0.05--LJUBLJANSKA CESTA;0.12--VOJKOVA ULICA;0.35
VULKANIZERSTVO ŠMIT D.O.O.,Slovenska cesta 41,Spodnja Idrija,5281 Spodnja Idrija,GORIŠKA,46.05395799;14.50398252,0,8.11,9,TRŽAŠKA CESTA;6.49--BLEIWEISOVA CESTA;1.2--GOSPOSVETSKA CESTA;0.33--SLOVENSKA CESTA;0.08
VULMEX VULKANIZERSTVO PETER PRIMOŽIČ S.P.,Cvetkova cesta 37,Cerkno,5282 Cerkno,GORIŠKA,46.13039418;13.9927412,0,71.24,57,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.69--GORIŠKA CESTA;3.69--BEVKOVA ULICA;0.42--CVETKOVA CESTA;0.36
"EKOSAL TRGOVINA, INŽENIRING IN ZASTOPANJE D.O.O.SERVIS",Cesta 25. junija 1 F,Kromberk,5000 Nova Gorica,GORIŠKA,45.95682108;13.65886362,0,99.3,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;35.08--VOGRSKO;0.08--PRIKLJUČEK VOGRSKO;0.67--VOGRSKO;1.34--OZELJAN;2.12--ŠMIHEL;0.82--AJŠEVICA;1.44--LOKE;0.04--ROŽNA DOLINA;0.48--KROMBERK;2.15--CESTA 25. JUNIJA;0.39
"MEHANIKA MAŠERA, MEHANIKA IN TRGOVINA D.O.O.",Livek 11 D,Livek,5222 Kobarid,GORIŠKA,46.20260222;13.60068098,0,114.17,94,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.57--REKA;4.86--STOPNIK;6.0--DOLENJA TREBUŠA;3.86--ROČE;1.67--SLAP OB IDRIJCI;2.08--IDRIJA PRI BAČI;2.46--BAČA PRI MODREJU;1.43--MOST NA SOČI;1.65--MODREJ;1.54--PRAPETNO;0.72--POLJUBINJ;1.87--TOLMIN;0.06--ZALOG;0.17--RUTARJEVA ULICA;0.26--TRG MARŠALA TITA;0.2--MESTNI TRG;0.09--ULICA PADLIH BORCEV;0.69--TOLMIN;0.79--VOLČE;5.86--KAMNO;2.46--IDRSKO;7.91--LIVEK;0.89
VEMOIL SERVISIRANJE VOZIL D.O.O.,Podgozd 16,Podgozd,5252 Trnovo pri Gorici,GORIŠKA,45.99431682;13.72466306,0,106.82,67,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;35.08--VOGRSKO;0.08--PRIKLJUČEK VOGRSKO;0.67--VOGRSKO;1.34--OZELJAN;2.12--ŠMIHEL;0.82--AJŠEVICA;1.28--LOKE;0.76--ULICA VINKA VODOPIVCA;0.44--GRAJSKA CESTA;0.5--BREG;1.18--;2.16--RAVNICA;4.3--PODGOZD;1.4
VULKANIZERSTVO IN KOVINARSTVO DEJAN ANTONIČ S.P.,Potoče 49,Potoče,5263 Dobravlje,GORIŠKA,45.89148394;13.82207344,0,81.5,45,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--MIRCE;1.06--AJDOVŠČINA;0.1--GORIŠKA CESTA;0.18--AJDOVŠČINA;0.02--GORIŠKA CESTA;0.01--CESTA;2.77--SKRILJE;0.15--DOBRAVLJE;1.35--POTOČE;1.65
PESTATOR DUŠAN S.P.,Zevnikova ulica 2,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.11027013;14.46292357,0,12.5,10,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;0.36--KOSMAČEVA ULICA;0.27--TACENSKA CESTA;0.81--NA GAJU;0.04--NA GMAJNI;0.04--ULICA 24. AVGUSTA;0.16
"LUŠTREK TOMAŽ, S.P.",Ladja 30,Ladja,1215 Medvode,OSREDNJESLOVENSKA,46.14677672;14.39635586,0,19.8,18,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;2.62--FINŽGARJEVA ULICA;0.39--;0.26--CESTA NA SENICO;0.26--LADJA;0.19--SPODNJA SENICA;0.06--LADJA;0.47
PETROL VULKANIZERSKI SERVIS TIP TOP,Letališka cesta 38,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.06177442;14.57306249,0,18.75,12,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A1;5.84--IND. CONA MOSTE;0.06--;0.13--LETALIŠKA CESTA;0.36
"AFS1, DRUŽBA ZA VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL, D.O.O.",Peruzzijeva ulica 107,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.02124522;14.52386718,0,10.71,7,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;5.57--LJ. - RUDNIK;0.14--PRIKLJUČEK LJ. - RUDNIK;0.15--PERUZZIJEVA ULICA;0.72
"AMD-VUK, AVTOMEHANIČNA DELA, BRANIMIR VUKOVIĆ S.P.",Celovška cesta 206,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.07978973;14.48137121,0,10.63,8,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;1.69--LJ. - SEVER;0.2--KAVADARSKA CESTA;0.17--CELOVŠKA CESTA;0.02--PRIKLJUČEK LJ. - SEVER;0.14--CELOVŠKA CESTA;0.28--CESTA LJUBLJANSKE BRIGADE;0.07--CELOVŠKA CESTA;0.25--;0.12--CELOVŠKA CESTA;0.08
"AMONTE, AVTOPRALNICA IN VULKANIZERSTVO, D.O.O.",Devova ulica 18,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.08551608;14.48023156,0,10.81,8,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;1.69--LJ. - SEVER;0.2--KAVADARSKA CESTA;0.17--CELOVŠKA CESTA;0.57--BRAVNIČARJEVA ULICA;0.33--CESTA LJUBLJANSKE BRIGADE;0.23
"ARMIČ, TRGOVINA, SERVIS D.O.O.",Cesta 8. maja 2,Log pri Brezovici,1358 Log pri Brezovici,OSREDNJESLOVENSKA,46.0056015;14.34964884,0,6.33,7,TRŽAŠKA CESTA;1.63--VRHNIŠKA CESTA;1.14--LJUBLJANSKA CESTA;1.12--LOŠKA CESTA;2.28--OB CESTI;0.14--CESTA 8. MAJA;0.02
